SOC,SubTitle,NumberEmployed,OpeningsPerYear,MedianWages,AverageWages,RequiredEducationLevel
291221,"Pediatricians, General",-0.2%,18,$94 per hour,"$193,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291051,Pharmacists,-0.3%,250,$66 per hour,"$132,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
319095,Pharmacy Aides,-1.6%,140,$16 per hour,"$36,500 per year",These occupations usually require a high school diploma.
292052,Pharmacy Technicians,-0.6%,509,$23 per hour,"$47,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
319097,Phlebotomists,-0.2%,242,$20 per hour,"$44,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
312022,Physical Therapist Aides,-0.5%,69,$16 per hour,"$34,900 per year",These occupations usually require a high school diploma.
312021,Physical Therapist Assistants,-0.7%,155,$31 per hour,"$64,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291123,Physical Therapists,-0.5%,215,$46 per hour,"$92,800 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291071,Physician Assistants,1.6%,260,$63 per hour,"$132,500 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291229,"Physicians, All Other",0.1%,283,N/A,"$254,700 per year",None
291222,"Physicians, Pathologists",N/A,N/A,N/A,N/A,"Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291081,Podiatrists,-1.3%,4,$73 per hour,"$161,100 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291024,Prosthodontists,0.0%,0,N/A,"$214,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
311133,Psychiatric Aides,4.0%,94,$23 per hour,"$46,100 per year",These occupations usually require a high school diploma.
292053,Psychiatric Technicians,4.0%,198,$22 per hour,"$44,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291223,Psychiatrists,1.2%,26,N/A,"$268,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291124,Radiation Therapists,0.8%,21,$51 per hour,"$108,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
292034,Radiologic Technologists and Technicians,0.0%,188,$37 per hour,"$78,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291224,Radiologists,N/A,N/A,N/A,N/A,"Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291125,Recreational Therapists,3.9%,179,$23 per hour,"$51,300 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
291141,Registered Nurses,0.6%,"3,712",$44 per hour,"$93,200 per year","These occupations require training in vocational schools, an associate's degree, or a bachelor's degree."
291126,Respiratory Therapists,1.2%,149,$37 per hour,"$76,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291127,Speech-Language Pathologists,-0.4%,164,$41 per hour,"$82,400 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291249,"Surgeons, All Other",0.0%,35,N/A,"$248,300 per year",None
299093,Surgical Assistants,N/A,N/A,$28 per hour,"$65,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
292055,Surgical Technologists,0.6%,198,$29 per hour,"$61,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291129,"Therapists, All Other",-0.1%,16,$37 per hour,"$78,300 per year",None
291131,Veterinarians,0.4%,118,$49 per hour,"$104,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
319096,Veterinary Assistants and Laboratory Animal Caretakers,0.0%,646,$16 per hour,"$35,000 per year",These occupations usually require a high school diploma.
292056,Veterinary Technologists and Technicians,0.3%,200,$20 per hour,"$43,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
393091,Amusement and Recreation Attendants,-8.2%,277,$16 per hour,"$34,000 per year",Some of these occupations may require a high school diploma or GED certificate.
272021,Athletes and Sports Competitors,-9.7%,0,N/A,"$94,700 per year",These occupations usually require a high school diploma.
396011,Baggage Porters and Bellhops,-3.9%,29,$17 per hour,"$35,400 per year",These occupations usually require a high school diploma.
513011,Bakers,-2.2%,399,$17 per hour,"$37,300 per year",These occupations usually require a high school diploma.
353011,Bartenders,-6.7%,249,$18 per hour,"$42,400 per year",These occupations usually require a high school diploma.
351011,Chefs and Head Cooks,-4.6%,50,$29 per hour,"$65,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
396012,Concierges,-2.6%,73,$19 per hour,"$41,200 per year",These occupations usually require a high school diploma.
352019,"Cooks, All Other",-0.9%,23,$19 per hour,"$44,800 per year",None
352011,"Cooks, Fast Food",-6.5%,0,$16 per hour,"$34,300 per year",Some of these occupations may require a high school diploma or GED certificate.
352012,"Cooks, Institution and Cafeteria",-0.4%,"1,058",$19 per hour,"$40,700 per year",These occupations usually require a high school diploma.
352013,"Cooks, Private Household",-0.2%,32,$16 per hour,"$46,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
352014,"Cooks, Restaurant",-5.7%,363,$18 per hour,"$37,100 per year",These occupations usually require a high school diploma.
352015,"Cooks, Short Order",-6.5%,0,$18 per hour,"$38,600 per year",Some of these occupations may require a high school diploma or GED certificate.
359011,Dining Room and Cafeteria Attendants and Bartender Helpers,-5.7%,281,$15 per hour,"$35,400 per year",Some of these occupations may require a high school diploma or GED certificate.
359021,Dishwashers,-6.1%,226,$15 per hour,"$33,000 per year",Some of these occupations may require a high school diploma or GED certificate.
393099,"Entertainment Attendants and Related Workers, All Other",-2.2%,11,$17 per hour,"$39,600 per year",None
353023,Fast Food and Counter Workers,-5.4%,"7,105",$15 per hour,"$33,100 per year",Some of these occupations may require a high school diploma or GED certificate.
351012,First-Line Supervisors of Food Preparation and Serving Workers,-5.8%,404,$21 per hour,"$47,500 per year",These occupations usually require a high school diploma.
391013,First-Line Supervisors of Gambling Services Workers,0.5%,193,$26 per hour,"$52,900 per year",These occupations usually require a high school diploma.
371011,First-Line Supervisors of Housekeeping and Janitorial Workers,-1.7%,311,$23 per hour,"$50,900 per year",These occupations usually require a high school diploma.
513091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",-0.7%,77,$16 per hour,"$37,600 per year",These occupations usually require a high school diploma.
513092,Food Batchmakers,-1.3%,453,$19 per hour,"$41,500 per year",These occupations usually require a high school diploma.
513093,Food Cooking Machine Operators and Tenders,-1.0%,94,$17 per hour,"$37,500 per year",These occupations usually require a high school diploma.
359099,"Food Preparation and Serving Related Workers, All Other",-3.6%,27,$14 per hour,"$31,000 per year",None
352021,Food Preparation Workers,-1.7%,"1,768",$16 per hour,"$35,500 per year",Some of these occupations may require a high school diploma or GED certificate.
353041,"Food Servers, Nonrestaurant",-0.1%,857,$15 per hour,"$33,600 per year",These occupations usually require a high school diploma.
119051,Food Service Managers,-4.9%,0,$34 per hour,"$76,700 per year",These occupations usually require a high school diploma.
393012,Gambling and Sports Book Writers and Runners,-1.1%,30,$16 per hour,"$33,400 per year",These occupations usually require a high school diploma.
433041,Gambling Cage Workers,0.7%,161,$15 per hour,"$32,500 per year",These occupations usually require a high school diploma.
412012,Gambling Change Persons and Booth Cashiers,-1.1%,133,$16 per hour,"$40,700 per year",These occupations usually require a high school diploma.
393011,Gambling Dealers,0.5%,759,$16 per hour,"$44,100 per year",These occupations usually require a high school diploma.
119071,Gambling Managers,0.9%,15,$37 per hour,"$85,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
393019,"Gambling Service Workers, All Other",-0.1%,45,$15 per hour,"$36,000 per year",None
359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",-6.5%,551,$15 per hour,"$35,500 per year",Some of these occupations may require a high school diploma or GED certificate.
434081,"Hotel, Motel, and Resort Desk Clerks",-5.9%,155,$15 per hour,"$32,400 per year",These occupations usually require a high school diploma.
372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-0.4%,"5,664",$18 per hour,"$41,800 per year",Some of these occupations may require a high school diploma or GED certificate.
393093,"Locker Room, Coatroom, and Dressing Room Attendants",-6.3%,12,$16 per hour,"$34,500 per year",These occupations usually require a high school diploma.
119081,Lodging Managers,-5.5%,0,$30 per hour,"$70,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
372012,Maids and Housekeeping Cleaners,-2.8%,"1,717",$16 per hour,"$33,700 per year",Some of these occupations may require a high school diploma or GED certificate.
513022,"Meat, Poultry, and Fish Cutters and Trimmers",-1.2%,265,$16 per hour,"$36,800 per year",Some of these occupations may require a high school diploma or GED certificate.
399032,Recreation Workers,-3.1%,645,$17 per hour,"$38,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
434181,Reservation and Transportation Ticket Agents and Travel Clerks,-4.1%,54,$20 per hour,"$45,500 per year",These occupations usually require a high school diploma.
397011,Tour Guides and Escorts,-4.2%,51,$20 per hour,"$49,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
413041,Travel Agents,-6.8%,0,$30 per hour,"$65,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
397012,Travel Guides,-4.2%,51,$20 per hour,"$49,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
272023,"Umpires, Referees, and Other Sports Officials",-7.5%,0,N/A,"$34,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
353031,Waiters and Waitresses,-6.5%,"1,737",$17 per hour,"$42,200 per year",Some of these occupations may require a high school diploma or GED certificate.
395011,Barbers,-5.2%,0,$31 per hour,"$64,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
211021,"Child, Family, and School Social Workers",1.7%,"1,042",$29 per hour,"$59,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
399011,Childcare Workers,-2.5%,"1,089",$16 per hour,"$34,500 per year",These occupations usually require a high school diploma.
212011,Clergy,2.4%,726,$32 per hour,"$66,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
193033,Clinical and Counseling Psychologists,N/A,N/A,$40 per hour,"$89,700 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
211099,"Community and Social Service Specialists, All Other",1.4%,326,$26 per hour,"$57,200 per year",None
211019,"Counselors, All Other",1.6%,"1,526",$29 per hour,"$61,500 per year",None
394012,Crematory Operators,N/A,N/A,$14 per hour,"$33,000 per year",None
212021,"Directors, Religious Activities and Education",2.5%,468,$37 per hour,"$76,300 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
391014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",0.8%,174,$25 per hour,"$54,200 per year",None
531044,First-Line Supervisors of Passenger Attendants,-3.2%,43,$31 per hour,"$67,500 per year",None
391022,First-Line Supervisors of Personal Service Workers,-5.8%,0,$25 per hour,"$54,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
394021,Funeral Attendants,-1.6%,29,$15 per hour,"$32,700 per year",These occupations usually require a high school diploma.
119171,Funeral Home Managers,-1.0%,9,$48 per hour,"$99,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
395012,"Hairdressers, Hairstylists, and Cosmetologists",-5.8%,0,$20 per hour,"$46,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
211022,Healthcare Social Workers,1.0%,486,$33 per hour,"$67,100 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
193032,Industrial-Organizational Psychologists,N/A,N/A,$46 per hour,"$112,700 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
516011,Laundry and Dry-Cleaning Workers,-3.5%,186,$16 per hour,"$33,900 per year",Some of these occupations may require a high school diploma or GED certificate.
395092,Manicurists and Pedicurists,-3.8%,241,$16 per hour,"$35,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
211013,Marriage and Family Therapists,2.9%,48,$21 per hour,"$45,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
211023,Mental Health and Substance Abuse Social Workers,1.4%,308,$27 per hour,"$57,000 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
211014,Mental Health Counselors,N/A,N/A,$25 per hour,"$55,500 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
394031,"Morticians, Undertakers, and Funeral Arrangers",-1.5%,27,$25 per hour,"$53,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
311122,Personal Care Aides,3.0%,"11,193",$16 per hour,"$34,000 per year",These occupations usually require a high school diploma.
399099,"Personal Care and Service Workers, All Other",2.7%,"1,373",$14 per hour,"$33,000 per year",None
516021,"Pressers, Textile, Garment, and Related Materials",-4.3%,9,$15 per hour,"$32,600 per year",Some of these occupations may require a high school diploma or GED certificate.
193039,"Psychologists, All Other",0.7%,400,$52 per hour,"$101,900 per year",None
211015,Rehabilitation Counselors,-0.9%,357,$23 per hour,"$51,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
212099,"Religious Workers, All Other",2.6%,194,$21 per hour,"$42,500 per year",None
399041,Residential Advisors,1.8%,295,$19 per hour,"$40,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
193034,School Psychologists,N/A,N/A,$40 per hour,"$89,700 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
395093,Shampooers,-5.4%,0,$12 per hour,"$24,300 per year",These occupations usually require a high school diploma.
395094,Skincare Specialists,-3.4%,99,$25 per hour,"$59,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
211093,Social and Human Service Assistants,2.4%,"1,519",$19 per hour,"$42,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
211029,"Social Workers, All Other",0.5%,77,$40 per hour,"$78,000 per year",None
211011,Substance Abuse and Behavioral Disorder Counselors,N/A,N/A,$25 per hour,"$55,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
516052,"Tailors, Dressmakers, and Custom Sewers",-3.4%,39,$18 per hour,"$39,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
499091,"Coin, Vending, and Amusement Machine Servicers and Repairers",-1.6%,49,$25 per hour,"$55,600 per year",These occupations usually require a high school diploma.
113021,Computer and Information Systems Managers,2.7%,"1,929",$79 per hour,"$175,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
172061,Computer Hardware Engineers,3.0%,244,$81 per hour,"$171,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151241,Computer Network Architects,0.7%,304,$61 per hour,"$129,000 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151231,Computer Network Support Specialists,1.6%,377,$41 per hour,"$90,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151251,Computer Programmers,0.2%,375,$71 per hour,"$180,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151211,Computer Systems Analysts,2.5%,"2,469",$52 per hour,"$111,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151232,Computer User Support Specialists,1.3%,"1,748",$29 per hour,"$63,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
492011,"Computer, Automated Teller, and Office Machine Repairers",-0.4%,194,$23 per hour,"$50,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
152051,Data Scientists,4.1%,427,$58 per hour,"$120,700 per year",None
151242,Database Administrators,1.9%,351,$57 per hour,"$118,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151243,Database Architects,N/A,N/A,$57 per hour,"$118,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151212,Information Security Analysts,3.1%,481,$52 per hour,"$114,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
131161,Market Research Analysts and Marketing Specialists,4.3%,"5,613",$41 per hour,"$93,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151244,Network and Computer Systems Administrators,1.1%,732,$46 per hour,"$98,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151252,Software Developers,3.8%,"15,299",$68 per hour,"$141,200 per year",None
151253,Software Quality Assurance Analysts and Testers,N/A,N/A,$68 per hour,"$141,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151255,Web and Digital Interface Designers,N/A,N/A,$69 per hour,"$136,500 per year",None
151254,Web Developers,3.7%,"3,041",$69 per hour,"$136,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.4%,17,$52 per hour,"$113,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
339011,Animal Control Workers,-0.3%,19,$26 per hour,"$55,500 per year",These occupations usually require a high school diploma.
231022,"Arbitrators, Mediators, and Conciliators",-0.1%,11,$32 per hour,"$76,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
333011,Bailiffs,-0.7%,15,$33 per hour,"$64,100 per year",These occupations usually require a high school diploma.
333012,Correctional Officers and Jailers,0.0%,636,$31 per hour,"$63,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
273092,Court Reporters and Simultaneous Captioners,-0.7%,7,$41 per hour,"$86,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
339091,Crossing Guards and Flaggers,-2.3%,262,$15 per hour,"$34,200 per year",Some of these occupations may require a high school diploma or GED certificate.
333021,Detectives and Criminal Investigators,0.1%,124,$49 per hour,"$108,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
119161,Emergency Management Directors,0.0%,10,$53 per hour,"$110,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
292042,Emergency Medical Technicians,0.0%,243,$22 per hour,"$58,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
332021,Fire Inspectors and Investigators,-0.8%,12,$48 per hour,"$100,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
332011,Firefighters,-0.6%,310,$39 per hour,"$80,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
331011,First-Line Supervisors of Correctional Officers,0.1%,78,$37 per hour,"$83,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
331021,First-Line Supervisors of Firefighting and Prevention Workers,-0.4%,110,$54 per hour,"$110,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
331012,First-Line Supervisors of Police and Detectives,-0.3%,142,$58 per hour,"$120,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
331099,"First-Line Supervisors of Protective Service Workers, All Other",N/A,N/A,N/A,N/A,None
331091,First-Line Supervisors of Security Workers,0.1%,172,$28 per hour,"$61,900 per year",None
194092,Forensic Science Technicians,-0.5%,38,$34 per hour,"$70,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
332022,Forest Fire Inspectors and Prevention Specialists,N/A,N/A,$37 per hour,"$75,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
339031,Gambling Surveillance Officers and Gambling Investigators,0.7%,73,$17 per hour,"$39,100 per year",These occupations usually require a high school diploma.
231023,"Judges, Magistrate Judges, and Magistrates",-0.3%,39,$60 per hour,"$135,700 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
231012,Judicial Law Clerks,0.0%,27,$33 per hour,"$72,800 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
231011,Lawyers,0.2%,842,$56 per hour,"$134,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
436012,Legal Secretaries and Administrative Assistants,-2.5%,156,$24 per hour,"$53,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
232099,"Legal Support Workers, All Other",0.2%,81,$31 per hour,"$77,500 per year",None
339092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",-5.3%,279,$16 per hour,"$34,100 per year",These occupations usually require a high school diploma.
232011,Paralegals and Legal Assistants,0.4%,779,$29 per hour,"$64,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
292043,Paramedics,0.0%,243,$22 per hour,"$58,100 per year",None
333041,Parking Enforcement Workers,-0.7%,16,$31 per hour,"$63,400 per year",These occupations usually require a high school diploma.
333051,Police and Sheriff’s Patrol Officers,-0.5%,576,$42 per hour,"$85,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
339021,Private Detectives and Investigators,1.3%,294,$27 per hour,"$68,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
211092,Probation Officers and Correctional Treatment Specialists,0.1%,160,$32 per hour,"$68,100 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
339099,"Protective Service Workers, All Other",0.4%,"1,348",$21 per hour,"$47,200 per year",None
435031,Public Safety Telecommunicators,-0.5%,118,$31 per hour,"$63,000 per year",These occupations usually require a high school diploma.
339094,School Bus Monitors,N/A,N/A,$21 per hour,"$47,200 per year",None
